,id_escola,tipo_escola,nome_escola,endereco,numero,bairro,latitude,longitude,quantidade_material,subprefeitura
0,178,EM,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,RUA CARLOS SEIDL,s/nº,CAJU,-22.88088,-43.22532,20.0,CENTRO
1,634,EM,EM ALICE DO AMARAL PEIXOTO,RUA EBANO,187,BENFICA,-22.88957,-43.23620,121.0,CENTRO
2,600,EM,EM URUGUAI,RUA ANA NERI,192,BENFICA,-22.89848,-43.23775,591.0,CENTRO
12,017,COLÉGIO,E.M PRESIDENTE JOSE LINHARES,RUA BARAO DA TORRE,90,IPANEMA,-22.98333,-43.19903,48.0,ZONA SUL
11,017,COLÉGIO,E.M PRESIDENTE JOSE LINHARES,RUA BARAO DA TORRE,90,IPANEMA,-22.98333,-43.19903,48.0,ZONA SUL
3,483,EM,EM CELESTINO SILVA,RUA DO LAVRADIO,56,CENTRO,-22.90929,-43.18357,220.0,CENTRO
5,476,EM,ESCOLA MUNICIPAL FLORIANO PEIXOTO,PRACA ARGENTINA,20,SAO CRISTOVAO,-22.89762,-43.22745,190.0,CENTRO
6,132,EM,EM PEREIRA PASSOS,PRACA CONDESSA PAULO DE FRONTIN,45,RIO COMPRIDO,-22.92441,-43.20857,67.0,CENTRO
20,309,EM,EM MEXICO,RUA DA MATRIZ,67,BOTAFOGO,-22.95270,-43.19176,319.0,ZONA SUL
21,523,EM,EM PRESIDENTE DA COSTA E SILVA,RUA ASSUNCAO,257,BOTAFOGO,-22.94555,-43.18659,111.0,ZONA SUL
22,268,EM,ESCOLA MUNICIPAL MINAS GERAIS,AVENIDA PASTEUR,433,URCA,-22.95382,-43.16888,308.0,ZONA SUL
8,089,EM,EM MARIO CLAUDIO,RUA HADDOCK LOBO,148,RIO COMPRIDO,-22.91723,-43.21104,473.0,CENTRO
9,089,EM,EM MARIO CLAUDIO,RUA HADDOCK LOBO,148,RIO COMPRIDO,-22.91723,-43.21104,473.0,CENTRO
7,089,EM,EM MARIO CLAUDIO,RUA HADDOCK LOBO,148,RIO COMPRIDO,-22.91723,-43.21104,473.0,CENTRO
10,089,EM,EM MARIO CLAUDIO,RUA HADDOCK LOBO,148,RIO COMPRIDO,-22.91723,-43.21104,473.0,CENTRO
13,540,EM,EM HENRIQUE DODSWORTH,AVENIDA EPITACIO PESSOA,474,IPANEMA,-22.98195,-43.21357,516.0,ZONA SUL
15,331,EM,CIEP TANCREDO NEVES,RUA DO CATETE,77,CATETE,-22.92278,-43.17668,223.0,ZONA SUL
19,413,EM,EM COCIO BARCELOS,RUA BARAO DE IPANEMA,34,COPACABANA,-22.74828,-43.18906,,ZONA SUL
18,413,EM,EM COCIO BARCELOS,RUA BARAO DE IPANEMA,34,COPACABANA,-22.97482,-43.18906,,ZONA SUL
97,031,COLÉGIO,E.M. PARA,AVENIDA DOS ITALIANOS,500,ROCHA MIRANDA,-22.85196,-43.34949,115.0,ZONA NORTE
17,558,EM,EM CICERO PENA,AVENIDA ATLANTICA,1976,COPACABANA,-22.96864,-43.18113,573.0,ZONA SUL
16,450,EM,EM ALBERTO BARTH,AVENIDA OSWALDO CRUZ,124,FLAMENGO,-22.94071,-43.17647,420.0,ZONA SUL
92,308,EM,CIEP THOMAS JEFFERSON,ESTRADA DO ENGENHO NOVO,s/nº,REALENGO,-22.86652,-43.42514,400.0,GRANDE BANGU
14,055,EM,EM SANTA CATARINA,RUA EDUARDO SANTOS,38,SANTA TERESA,-22.91553,-43.19158,92.0,CENTRO
89,673,EM,ESCOLA MUNICIPAL GRECIA,AVENIDA BRAZ DE PINA,1614,VILA DA PENHA,-22.83783,-43.31253,393.0,ZONA NORTE
91,520,EM,EM BARONESA DE SAAVEDRA,RUA MAL. BIBIANO COSTALAT,483-639,REALENGO,-22.87185,-43.43243,136.0,GRANDE BANGU
